Category,Subcategory,year,grade,value,value_mean_or_percent,standard_deviation
Legacy Media,TV (hr/day),2013,8,2.34,mean,1.63
Legacy Media,TV (hr/day),2013,10,2.06,mean,1.43
Legacy Media,TV (hr/day) (weekdays only),2013,12,1.89,mean,1.69
Legacy Media,TV (hr/day),2014,8,2.28,mean,1.63
Legacy Media,TV (hr/day),2014,10,2.01,mean,1.53
Legacy Media,TV (hr/day) (weekdays only),2014,12,1.88,mean,1.69
Legacy Media,TV (hr/day),2015,8,2.13,mean,1.6
Legacy Media,TV (hr/day),2015,10,1.86,mean,1.51
Legacy Media,TV (hr/day) (weekdays only),2015,12,1.87,mean,1.75
Legacy Media,TV (hr/day),2016,8,2.04,mean,1.61
Legacy Media,TV (hr/day),2016,10,1.81,mean,1.51
Legacy Media,TV (hr/day) (weekdays only),2016,12,1.87,mean,1.79
