"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"        5 to 17 years","12,201","±2,388","3,989","±1,918","9,524","±2,364","13,541","±2,992","98,033","±8,899","23,914","±4,505","4,560","±1,587","622","±536","0","±247","77,253","±9,378","68,443","±7,872","683","±458","6,723","±2,030","33,310","±4,564","28,380","±4,775","11,261","±2,142","9,879","±2,662","22,540","±3,628","18,749","±4,209","3,519","±1,601","18,202","±4,127","14,248","±2,741","33,256","±3,920","25,442","±4,409","13,071","±2,996","25,720","±3,680","4,133","±1,124","5,031","±1,536","2,555","±1,307","3,103","±1,994","19,213","±3,549","6,073","±2,684","41,644","±6,009","43,988","±5,616","1,871","±1,347","40,408","±4,488","22,026","±3,162","10,367","±2,497","31,940","±4,278","1,377","±1,163","18,377","±3,900","3,619","±1,383","27,976","±4,669","139,447","±10,825","10,312","±2,565","739","±454","39,389","±5,486","16,631","±3,248","5,224","±2,033","16,762","±3,144","671","±463","",""
"        18 and 19 years","16,279","±2,487","858","±315","12,734","±2,308","7,110","±1,242","65,840","±5,088","14,282","±2,313","6,019","±1,230","616","±346","0","±247","56,527","±4,421","30,562","±3,961","692","±723","6,886","±1,850","23,782","±2,698","22,451","±2,197","13,966","±1,567","8,902","±1,341","11,743","±1,807","9,585","±1,954","2,091","±796","8,726","±1,252","13,849","±2,039","29,242","±2,975","17,364","±2,216","7,461","±1,813","14,467","±1,799","2,596","±690","7,146","±1,390","2,153","±896","2,380","±757","11,634","±2,000","2,351","±912","35,160","±2,867","35,868","±3,628","3,535","±1,165","34,649","±2,849","14,181","±1,904","7,964","±1,584","32,026","±3,043","1,231","±1,298","15,053","±1,984","3,011","±938","13,412","±2,129","85,433","±5,145","8,299","±1,334","597","±366","27,578","±2,816","12,280","±1,613","4,684","±1,298","20,408","±2,366","979","±424","",""
"        20 to 24 years","25,662","±2,715","2,615","±942","14,315","±2,518","15,194","±2,525","142,023","±8,458","38,467","±4,872","10,391","±1,800","2,103","±1,054","0","±247","93,462","±8,556","80,659","±6,990","392","±379","11,573","±2,435","42,097","±3,621","44,076","±5,148","24,814","±2,832","19,547","±2,687","30,579","±3,581","23,292","±4,298","5,491","±1,575","21,248","±3,870","32,208","±3,704","67,508","±4,879","39,490","±4,114","17,655","±2,204","34,944","±3,542","5,724","±1,503","15,414","±2,554","3,258","±1,408","3,287","±1,078","22,391","±3,089","5,237","±1,653","69,297","±5,697","71,675","±7,234","5,301","±1,496","75,368","±5,540","27,797","±2,706","21,948","±3,848","53,213","±4,936","2,418","±1,183","26,888","±4,601","8,577","±1,725","31,882","±3,161","182,045","±11,061","21,695","±3,484","1,034","±510","58,667","±5,314","32,271","±4,578","8,292","±1,669","40,617","±4,221","3,890","±1,230","",""
"        25 to 29 years","18,896","±2,571","2,176","±1,133","11,800","±3,079","11,014","±2,084","128,752","±8,238","46,217","±4,536","11,346","±2,123","1,820","±816","0","±247","91,182","±7,914","66,246","±5,256","545","±405","9,305","±2,210","46,919","±5,132","29,617","±3,166","15,854","±2,724","13,429","±2,502","16,706","±2,336","16,048","±2,214","3,381","±922","24,487","±3,378","36,615","±3,885","47,646","±4,936","33,544","±3,260","13,448","±2,584","29,998","±3,084","5,822","±1,694","7,595","±1,428","2,682","±923","4,237","±1,476","38,269","±4,325","4,038","±1,340","71,518","±5,167","52,798","±5,031","3,047","±916","48,324","±4,341","17,707","±2,338","16,108","±2,679","46,512","±4,443","2,534","±1,124","22,763","±3,271","4,026","±1,192","22,782","±3,153","173,520","±9,207","20,147","±2,818","2,785","±1,181","51,982","±3,852","27,195","±3,357","5,886","±1,492","23,332","±2,910","1,424","±707","",""
"        30 to 34 years","12,725","±2,668","2,862","±1,602","9,931","±2,254","7,861","±1,488","115,315","±6,008","34,877","±4,128","8,368","±2,312","1,374","±717","0","±247","67,083","±6,711","46,396","±4,692","377","±260","5,378","±1,302","29,994","±3,010","22,523","±3,113","8,605","±1,794","6,302","±1,415","14,654","±2,085","11,416","±2,104","3,111","±1,030","16,767","±2,995","21,403","±2,462","30,024","±3,008","19,093","±2,598","5,980","±1,380","21,542","±2,351","3,034","±1,067","5,432","±1,410","2,908","±1,030","3,384","±955","24,887","±3,603","4,648","±1,546","49,260","±4,854","39,676","±4,483","1,229","±577","36,879","±3,606","13,090","±1,738","10,629","±1,925","34,682","±3,644","2,423","±1,163","13,871","±2,584","2,267","±769","22,081","±3,954","121,081","±8,631","7,620","±1,959","1,204","±507","43,612","±4,690","25,034","±3,062","4,247","±1,243","17,761","±2,722","374","±251","",""
"        35 to 39 years","9,630","±2,108","2,779","±1,566","9,878","±2,081","6,163","±1,475","76,453","±6,590","23,525","±3,293","5,148","±1,473","452","±270","0","±247","61,812","±6,271","40,165","±4,785","322","±264","5,523","±1,554","20,566","±2,902","16,255","±2,699","6,621","±1,800","4,457","±1,585","12,287","±1,970","10,823","±2,298","1,566","±560","10,910","±1,874","15,855","±2,760","19,747","±2,524","14,507","±2,433","4,953","±1,579","17,498","±3,049","2,267","±684","2,889","±1,005","2,422","±1,172","3,211","±1,309","17,389","±3,419","2,823","±1,165","34,936","±4,026","25,254","±3,294","1,452","±708","25,981","±2,808","11,596","±1,824","11,067","±1,911","21,490","±3,202","1,522","±933","7,484","±1,707","3,773","±1,125","18,384","±3,165","88,904","±7,470","3,690","±1,172","1,365","±738","27,184","±3,185","17,671","±2,634","3,066","±891","10,806","±1,695","888","±738","",""
"        40 to 44 years","8,198","±2,004","1,783","±620","6,745","±1,588","6,129","±1,721","54,770","±5,475","13,556","±2,379","3,491","±1,084","314","±289","0","±247","44,561","±6,179","32,748","±4,478","677","±361","2,362","±997","16,794","±2,457","13,623","±2,087","5,388","±1,424","2,958","±1,017","8,634","±1,321","8,109","±1,824","2,487","±1,424","9,988","±2,568","8,920","±2,086","14,853","±2,277","10,697","±1,998","4,364","±1,255","11,250","±1,815","2,505","±959","2,573","±742","1,165","±653","2,422","±1,006","11,847","±2,681","3,182","±1,235","23,168","±3,356","21,272","±3,023","569","±344","17,404","±2,469","10,538","±1,729","8,125","±1,838","19,143","±2,643","789","±633","8,894","±2,315","876","±433","9,648","±1,905","75,114","±6,544","3,210","±771","967","±515","19,487","±3,029","13,982","±2,358","2,268","±778","9,842","±1,863","643","±411","",""
"        45 to 49 years","5,768","±1,312","608","±376","5,808","±1,976","2,697","±715","43,302","±4,801","7,481","±1,841","1,683","±732","614","±408","0","±247","36,666","±4,810","24,788","±3,350","231","±166","1,810","±683","12,804","±2,016","9,381","±1,959","3,668","±870","1,896","±737","8,377","±1,604","5,756","±1,353","905","±402","6,403","±1,715","7,246","±1,908","11,007","±1,311","6,654","±1,201","4,210","±1,454","6,934","±1,357","889","±416","2,367","±856","946","±432","1,604","±864","7,375","±1,714","1,607","±662","19,484","±2,932","16,426","±2,825","607","±338","12,309","±1,741","6,600","±1,077","6,138","±1,173","12,984","±1,720","882","±771","5,990","±1,611","1,551","±874","10,185","±2,252","52,296","±5,027","3,138","±1,052","714","±419","15,201","±2,327","8,323","±1,667","2,328","±1,001","6,921","±1,407","390","±303","",""
"        50 to 54 years","5,845","±1,332","558","±298","4,399","±1,226","4,886","±1,276","31,873","±2,867","10,459","±2,284","2,902","±1,316","92","±60","0","±247","34,380","±4,042","22,056","±2,647","510","±410","2,335","±856","10,812","±1,995","9,573","±2,110","3,377","±966","2,151","±816","5,303","±1,205","5,531","±1,515","2,052","±809","6,779","±1,797","6,163","±1,559","11,424","±1,758","7,705","±1,578","5,335","±1,479","8,153","±1,598","1,235","±562","1,279","±540","579","±513","1,297","±552","7,490","±1,783","1,495","±686","17,005","±2,066","15,502","±2,742","656","±397","12,913","±1,802","5,823","±1,096","3,706","±992","9,285","±1,710","1,207","±868","6,078","±1,396","1,221","±583","10,516","±1,643","50,500","±5,410","4,109","±1,240","529","±294","15,864","±2,037","5,827","±1,291","2,294","±1,016","6,766","±1,549","339","±282","",""
"        55 to 59 years","5,374","±1,559","563","±317","3,976","±1,276","4,612","±1,459","30,942","±3,326","6,532","±1,569","2,790","±1,476","425","±391","0","±247","29,574","±3,624","17,409","±2,708","476","±287","1,285","±550","9,630","±1,830","6,943","±1,092","3,283","±903","2,226","±769","4,879","±1,035","4,367","±1,171","527","±268","5,283","±1,658","5,894","±1,270","12,067","±1,906","9,327","±2,347","2,661","±788","7,538","±1,375","1,540","±988","2,774","±1,308","699","±388","939","±725","9,834","±2,526","1,211","±631","18,910","±2,326","15,809","±2,456","662","±397","9,209","±1,561","4,898","±931","5,228","±1,350","10,478","±1,983","1,130","±800","5,537","±1,727","726","±341","7,547","±1,655","38,683","±4,614","1,673","±690","873","±288","14,894","±2,561","6,872","±1,699","1,186","±531","6,693","±1,300","537","±269","",""
"        60 to 64 years","5,490","±1,464","508","±490","5,901","±1,543","2,401","±810","28,880","±3,202","7,659","±1,855","2,041","±774","246","±323","0","±247","31,369","±4,254","15,644","±2,717","618","±484","750","±307","8,054","±1,329","6,862","±1,691","2,793","±750","2,807","±760","4,817","±1,363","5,120","±1,673","1,355","±586","6,870","±1,626","8,205","±1,924","11,014","±2,012","7,301","±1,208","3,134","±908","6,439","±1,174","1,225","±527","2,670","±798","808","±481","923","±479","7,451","±1,774","1,558","±761","16,703","±2,501","11,285","±2,045","501","±261","13,623","±2,349","4,609","±1,019","4,373","±1,012","10,329","±1,587","262","±268","5,716","±1,410","1,309","±564","8,108","±1,475","36,713","±3,822","1,857","±639","322","±224","9,664","±1,636","8,733","±2,047","1,768","±725","6,013","±1,163","391","±268","",""
"        65 to 69 years","3,458","±851","337","±203","4,062","±1,075","3,727","±1,001","23,302","±2,889","5,298","±1,117","3,201","±1,391","147","±238","0","±247","23,434","±3,190","10,486","±1,777","214","±175","824","±390","6,886","±1,405","5,307","±1,007","1,369","±399","2,005","±481","3,512","±1,005","3,329","±955","1,282","±469","4,134","±1,302","4,505","±1,150","8,748","±1,553","6,354","±1,110","1,491","±525","5,216","±1,214","680","±362","1,149","±392","1,009","±535","1,089","±537","6,746","±1,779","648","±519","15,547","±2,727","6,232","±1,066","278","±250","9,535","±1,494","3,618","±1,032","3,400","±919","8,396","±1,345","693","±573","3,649","±996","810","±349","5,329","±1,262","24,586","±3,075","1,474","±467","220","±139","9,979","±1,601","6,784","±1,836","1,627","±854","4,169","±1,034","321","±234","",""
"        70 to 74 years","1,599","±820","398","±432","2,513","±652","1,378","±531","16,845","±2,426","3,264","±920","1,499","±577","374","±245","0","±247","18,203","±2,346","6,679","±1,521","168","±136","1,017","±407","4,163","±1,022","4,749","±1,245","1,868","±763","1,789","±608","2,561","±883","1,377","±572","938","±399","2,905","±1,062","3,392","±1,127","5,533","±1,297","3,604","±798","1,470","±717","5,678","±1,323","867","±648","1,510","±594","1,051","±541","618","±337","3,838","±882","810","±452","7,642","±1,324","6,945","±1,333","1,015","±612","6,230","±1,618","2,437","±685","3,343","±1,161","6,067","±1,158","394","±595","2,510","±735","1,146","±634","3,351","±1,169","18,167","±2,770","991","±453","326","±309","6,267","±1,597","3,517","±974","965","±456","4,256","±1,064","112","±95","",""
"        75 years and over","3,154","±601","186","±170","5,409","±1,223","2,951","±968","30,948","±3,648","8,226","±1,962","4,340","±1,152","178","±188","0","±247","28,513","±3,637","12,860","±1,769","626","±272","1,303","±646","12,511","±1,512","8,346","±1,292","3,471","±841","4,184","±767","4,869","±978","3,314","±927","1,750","±604","5,192","±1,232","5,532","±1,214","12,084","±1,815","9,090","±1,631","2,453","±590","6,886","±1,210","1,540","±710","2,367","±481","639","±348","1,246","±532","9,653","±1,826","2,034","±683","17,113","±2,067","10,100","±1,482","1,413","±618","14,145","±2,151","5,277","±1,086","4,905","±1,313","15,110","±1,794","635","±326","5,418","±959","1,418","±410","5,942","±1,087","32,127","±3,323","1,531","±530","235","±117","10,934","±1,557","8,046","±1,388","1,722","±501","6,839","±1,494","264","±225","",""
"    Moved from different state:","119,890","±9,899","29,995","±4,464","234,926","±15,380","62,908","±6,197","406,873","±16,100","182,469","±11,808","82,686","±6,921","34,602","±5,439","53,791","±5,438","573,876","±26,084","266,483","±15,404","53,744","±5,818","72,817","±6,331","200,326","±11,810","133,951","±8,842","59,946","±5,187","83,676","±6,803","95,793","±8,277","72,028","±7,628","35,900","±4,509","164,424","±11,995","152,915","±10,293","140,413","±11,989","104,959","±6,614","65,391","±7,071","140,693","±8,081","36,159","±4,898","49,949","±5,167","130,813","±11,506","48,666","±5,238","150,849","±11,279","54,241","±5,272","285,304","±14,460","299,782","±14,105","27,348","±3,869","197,890","±10,555","107,523","±7,142","118,547","±8,898","234,593","±14,143","36,203","±4,735","189,333","±11,927","23,419","±3,342","192,215","±11,673","556,156","±23,072","95,218","±8,920","24,503","±4,002","265,514","±10,659","222,059","±12,169","43,945","±4,712","116,355","±7,856","25,548","±4,267","",""
"        1 to 4 years","5,992","±1,499","1,599","±844","10,210","±2,991","1,826","±709","18,646","±3,209","6,639","±1,894","3,731","±1,410","451","±325","1,067","±558","28,626","±4,775","14,615","±2,824","2,959","±930","3,761","±1,239","8,601","±1,918","7,484","±1,760","1,520","±630","4,643","±1,462","5,115","±1,775","4,787","±1,346","1,382","±805","11,072","±2,734","7,486","±2,251","9,253","±2,338","4,268","±1,370","2,494","±1,032","9,246","±1,843","1,284","±637","3,519","±1,278","6,507","±2,562","1,785","±835","9,126","±2,244","1,534","±738","8,987","±1,989","14,375","±3,063","995","±661","10,479","±1,948","6,505","±1,310","3,035","±1,023","10,029","±2,359","1,151","±759","8,153","±1,901","1,299","±708","10,850","±1,973","32,704","±4,882","4,137","±1,211","893","±582","15,908","±2,658","10,144","±2,464","1,424","±700","6,033","±1,355","1,319","±687","",""
"        5 to 17 years","16,767","±3,718","2,749","±1,200","24,968","±5,417","9,455","±2,482","36,486","±6,326","17,711","±3,657","7,177","±1,952","4,102","±1,852","1,371","±931","64,050","±10,369","40,825","±6,269","7,453","±1,812","6,611","±1,734","17,989","±3,016","15,236","±3,620","6,171","±1,902","8,290","±2,143","11,589","±2,832","9,496","±3,095","2,437","±926","16,917","±3,885","8,987","±2,657","17,660","±4,215","11,717","±2,262","9,935","±2,756","12,311","±2,427","2,626","±1,344","6,396","±1,560","15,378","±3,606","5,413","±2,133","13,811","±3,297","6,226","±2,199","18,599","±3,698","36,198","±5,525","2,456","±1,194","19,256","±3,453","16,614","±2,391","9,754","±2,185","21,263","±4,939","3,215","±1,597","22,662","±4,129","1,556","±590","19,812","±3,917","70,015","±7,419","11,538","±2,854","930","±460","29,307","±3,440","23,992","±4,065","4,954","±1,583","9,692","±1,834","2,933","±1,360","",""
"        18 and 19 years","10,963","±2,067","955","±340","15,762","±2,184","6,949","±1,354","22,440","±2,822","10,899","±2,076","7,597","±1,613","4,066","±868","8,672","±1,895","21,155","±2,899","10,596","±2,011","2,519","±908","5,957","±1,138","14,635","±1,941","14,480","±1,789","9,839","±1,100","7,521","±1,440","5,939","±1,125","5,415","±1,764","3,741","±891","7,039","±1,365","16,952","±2,075","12,081","±1,659","7,606","±1,372","6,017","±1,394","11,703","±1,484","4,347","±863","4,506","±1,158","2,528","±930","4,263","±1,094","4,390","±1,084","2,155","±684","31,175","±2,752","19,736","±2,782","3,679","±1,126","18,261","±1,810","9,713","±1,860","8,739","±1,459","28,415","±2,639","4,661","±1,066","16,261","±1,927","2,111","±617","12,252","±2,510","24,221","±3,109","10,155","±1,428","3,903","±1,411","18,449","±2,043","13,845","±1,901","5,316","±1,259","11,786","±1,424","1,482","±575","",""
"        20 to 24 years","16,901","±3,131","6,408","±1,765","29,808","±4,307","9,884","±2,161","71,891","±5,617","29,573","±4,440","13,193","±1,937","3,810","±1,254","13,793","±2,203","61,353","±4,808","32,439","±3,851","10,127","±1,590","11,970","±1,828","41,817","±5,062","21,831","±3,016","11,183","±1,930","14,044","±2,380","14,606","±3,091","10,830","±2,276","3,246","±844","23,637","±3,277","31,046","±3,409","19,281","±3,191","18,461","±2,492","7,899","±1,935","25,437","±3,350","7,285","±1,913","8,489","±2,104","11,876","±2,820","5,036","±1,286","18,626","±2,557","7,568","±1,884","53,763","±4,559","42,995","±4,337","6,493","±1,444","29,644","±3,454","13,781","±1,952","16,167","±2,635","34,547","±3,643","7,406","±2,013","28,782","±3,885","4,237","±1,341","28,625","±3,732","81,792","±7,685","21,006","±3,435","5,090","±1,560","42,994","±3,259","33,440","±4,196","5,893","±1,517","24,828","±3,808","6,455","±2,012","",""
"        25 to 29 years","14,263","±2,541","4,817","±1,205","31,415","±4,643","4,973","±1,531","64,640","±5,131","33,399","±3,648","10,996","±2,287","2,956","±1,104","10,164","±2,083","59,206","±5,418","32,931","±4,102","7,560","±1,632","9,534","±1,798","32,991","±4,152","18,972","±2,784","7,543","±1,739","11,226","±2,089","12,753","±2,325","7,534","±1,633","4,131","±1,179","25,474","±3,630","28,111","±3,612","18,618","±2,552","13,235","±2,364","7,650","±1,706","23,170","±3,163","4,167","±1,285","6,337","±1,444","16,698","±2,762","7,206","±1,952","20,809","±2,892","7,976","±1,970","57,561","±6,203","35,220","±3,706","3,648","±1,262","26,251","±3,447","13,301","±2,013","14,561","±2,477","34,765","±4,324","6,572","±1,990","24,313","±4,045","2,609","±826","31,819","±3,424","85,831","±7,730","11,290","±2,146","2,341","±887","38,597","±3,523","38,691","±4,495","4,284","±1,201","16,453","±2,767","2,761","±1,339","",""
"        30 to 34 years","10,309","±1,546","4,646","±1,541","19,248","±3,739","4,609","±1,220","56,841","±4,511","20,940","±3,138","8,778","±1,841","3,781","±1,654","5,750","±1,664","49,935","±6,552","26,262","±3,724","5,855","±1,637","6,412","±1,695","22,604","±3,244","12,035","±2,228","5,151","±1,336","9,744","±1,774","9,684","±1,799","7,483","±1,838","5,150","±1,630","22,117","±2,901","16,552","±2,809","12,642","±2,100","14,713","±2,549","5,360","±1,715","12,811","±2,759","3,551","±1,259","3,160","±928","12,733","±2,645","5,025","±1,205","23,525","±3,608","5,753","±1,678","37,569","±5,694","32,437","±4,832","769","±488","21,741","±2,944","8,879","±1,614","13,018","±2,431","24,526","±3,904","4,501","±1,351","14,009","±3,173","1,968","±671","19,801","±3,761","60,122","±5,859","8,337","±1,797","2,360","±882","25,440","±3,397","25,393","±3,414","3,923","±1,027","9,867","±1,690","2,013","±860","",""
"        35 to 39 years","8,327","±2,106","2,444","±1,011","15,309","±2,793","2,844","±874","34,572","±4,520","14,823","±3,032","7,915","±2,077","2,367","±1,161","3,885","±1,295","37,626","±5,047","25,169","±4,343","4,427","±1,397","5,452","±1,925","13,950","±2,175","7,885","±1,831","3,033","±1,113","5,463","±1,489","6,210","±1,552","6,588","±2,129","2,097","±827","16,064","±3,140","11,409","±2,241","7,934","±1,619","6,483","±1,436","5,122","±1,559","9,648","±1,845","2,346","±974","4,340","±1,672","13,772","±2,755","3,891","±1,157","15,886","±2,412","4,515","±1,293","18,424","±3,369","22,568","±2,984","1,963","±985","14,888","±2,969","9,788","±2,211","9,710","±2,570","20,109","±3,836","2,473","±772","12,371","±2,568","1,398","±574","10,089","±2,097","48,305","±5,525","6,961","±1,945","1,299","±643","22,938","±2,988","19,888","±3,129","2,305","±825","6,593","±1,654","1,757","±1,008","",""
"        40 to 44 years","6,639","±1,664","1,221","±552","10,614","±2,673","4,219","±1,348","19,366","±3,515","9,778","±2,281","5,095","±1,666","1,116","±578","2,081","±894","33,800","±4,914","19,408","±3,963","1,760","±568","4,155","±1,372","10,220","±2,326","6,159","±1,513","3,684","±1,291","4,695","±1,810","6,439","±2,005","4,418","±1,275","2,205","±763","7,862","±1,888","5,196","±1,378","8,148","±1,821","5,156","±1,368","4,521","±1,449","6,178","±1,588","2,059","±862","2,269","±902","8,547","±2,193","1,746","±656","8,447","±1,793","4,244","±1,405","13,610","±2,808","15,966","±3,011","2,046","±878","10,941","±2,535","4,297","±1,045","7,553","±1,980","13,464","±2,483","1,676","±1,046","9,876","±2,174","1,118","±621","10,443","±2,541","35,622","±4,080","4,456","±1,313","1,584","±789","15,077","±2,593","13,279","±2,541","3,673","±1,587","4,748","±1,511","1,857","±774","",""
"        45 to 49 years","4,406","±1,462","1,356","±849","9,081","±2,147","3,974","±1,120","14,605","±2,636","5,892","±1,419","2,706","±1,201","1,705","±780","2,259","±1,449","23,761","±3,606","12,898","±2,701","2,790","±1,326","2,434","±1,003","6,002","±1,374","5,158","±1,298","1,138","±458","2,410","±878","3,761","±1,106","3,893","±1,435","1,294","±648","5,308","±1,280","5,256","±1,661","6,201","±1,583","3,634","±935","2,806","±1,368","4,801","±1,362","669","±390","2,464","±885","7,883","±1,972","2,746","±1,165","7,688","±1,920","2,151","±740","7,451","±2,087","13,632","±2,646","1,424","±840","8,966","±1,703","4,831","±1,077","6,123","±1,609","8,660","±2,272","660","±501","7,098","±1,595","1,506","±672","6,563","±1,641","23,172","±2,720","3,645","±1,317","845","±444","10,647","±1,911","9,110","±1,810","1,835","±874","3,100","±871","926","±504","",""
"        50 to 54 years","4,876","±1,300","1,389","±627","9,368","±2,230","3,010","±1,134","12,993","±2,259","7,122","±1,583","2,462","±891","2,461","±907","1,093","±689","27,607","±3,815","10,061","±1,938","1,629","±579","2,637","±839","5,089","±1,343","4,802","±1,430","2,269","±857","2,921","±1,070","5,374","±1,868","2,882","±1,153","1,467","±633","5,926","±1,797","3,609","±1,226","4,023","±964","3,591","±1,049","2,362","±1,227","5,828","±1,348","1,223","±576","1,411","±575","6,983","±1,862","1,655","±693","4,553","±1,123","2,110","±937","7,804","±1,285","12,956","±2,379","550","±345","7,292","±1,583","3,862","±1,049","4,455","±1,112","6,416","±1,267","928","±597","8,432","±2,115","1,396","±744","7,467","±1,795","22,789","±3,467","2,932","±1,016","913","±749","7,137","±1,540","7,284","±1,822","2,211","±702","3,939","±927","901","±595","",""
"        55 to 59 years","4,025","±1,289","876","±490","10,932","±2,102","2,010","±735","12,422","±2,368","4,883","±1,382","2,896","±746","1,293","±525","1,435","±713","34,663","±4,662","9,911","±2,023","1,809","±770","1,673","±764","6,682","±1,531","4,213","±1,082","1,721","±585","2,686","±745","4,240","±1,445","1,908","±641","1,084","±414","6,209","±2,114","3,409","±974","4,960","±1,346","3,291","±1,087","3,293","±1,186","5,293","±1,680","1,470","±750","1,592","±814","6,506","±1,526","2,601","±855","4,699","±1,168","1,693","±684","7,028","±1,677","11,866","±2,785","228","±168","5,061","±1,298","3,557","±983","4,884","±1,259","6,700","±1,500","935","±645","7,130","±1,588","740","±523","11,232","±2,268","16,868","±2,683","3,362","±1,634","1,235","±674","7,785","±1,784","5,685","±1,339","2,510","±864","4,606","±1,412","678","±502","",""
"        60 to 64 years","7,177","±2,173","508","±372","13,625","±2,415","3,614","±1,266","9,009","±1,313","6,536","±1,981","3,745","±1,015","2,538","±1,016","922","±535","37,729","±3,935","9,416","±1,822","1,525","±600","3,551","±1,048","6,314","±1,659","4,704","±1,189","2,067","±723","4,144","±2,008","2,241","±760","2,638","±1,014","2,570","±1,273","5,654","±1,589","3,360","±943","5,103","±1,003","2,697","±898","2,162","±809","5,166","±1,178","1,194","±558","1,213","±590","6,091","±1,235","2,350","±1,066","5,646","±1,533","3,309","±869","8,302","±1,939","14,304","±2,384","1,037","±689","6,149","±1,201","4,291","±1,361","5,409","±1,447","6,540","±1,238","596","±370","8,857","±1,616","829","±395","7,781","±1,499","18,627","±2,806","2,392","±707","1,434","±720","8,528","±1,583","5,542","±1,313","1,740","±738","3,710","±793","945","±457","",""
"        65 to 69 years","3,572","±879","323","±200","13,119","±2,234","2,241","±846","11,437","±2,310","5,721","±1,319","2,377","±866","1,368","±541","463","±416","30,066","±3,075","7,140","±1,332","1,283","±702","3,489","±1,213","5,280","±1,274","3,789","±979","1,871","±601","1,831","±626","2,282","±654","1,747","±693","1,594","±636","4,134","±1,048","3,696","±904","4,514","±949","1,896","±598","2,082","±789","3,323","±818","1,444","±666","1,271","±688","5,836","±1,770","1,451","±618","3,407","±1,084","1,614","±599","5,607","±1,045","9,385","±1,587","849","±517","4,989","±1,313","3,281","±1,076","3,833","±1,101","6,640","±1,284","261","±202","8,505","±2,075","772","±343","5,789","±1,311","9,785","±1,901","1,849","±848","533","±286","8,045","±1,639","4,627","±1,064","1,751","±767","3,752","±892","656","±411","",""
"        70 to 74 years","2,466","±941","439","±395","8,035","±1,893","847","±425","8,415","±1,708","4,116","±1,570","1,534","±621","1,093","±493","358","±313","26,077","±2,912","5,292","±1,352","738","±488","2,031","±635","3,058","±858","2,197","±761","1,550","±524","1,218","±621","2,412","±833","782","±299","1,391","±560","1,420","±546","2,631","±863","4,652","±1,017","2,587","±814","1,443","±530","2,707","±879","1,354","±948","1,585","±797","4,060","±1,033","1,104","±534","4,263","±1,298","1,493","±590","3,409","±889","6,155","±1,589","342","±364","5,138","±1,255","1,944","±582","5,507","±1,575","3,921","±980","241","±211","4,287","±1,319","797","±379","3,706","±1,143","10,466","±2,020","1,590","±737","256","±166","5,314","±1,157","3,507","±846","683","±409","3,886","±1,209","290","±223","",""
