Category,Subcategory,total_sampled,year,grade,value,value_mean_or_percent,standard_deviation
Legacy Media,books/magazines every day (%),110732,2012,12,24,percent,
Legacy Media,Books (# in last year),108896,2013,12,3.36,mean,3.74
Legacy Media,books/magazines (1-5 scale),110732,2013,12,3.29,mean,1.27
Legacy Media,books/magazines every day (%),110732,2013,12,21,percent,
Legacy Media,Books (# in last year),108896,2014,12,3.31,mean,3.84
Legacy Media,books/magazines (1-5 scale),110732,2014,12,3.17,mean,1.29
Legacy Media,books/magazines every day (%),110732,2014,12,18,percent,
Legacy Media,Books (# in last year),108896,2015,12,3.43,mean,3.84
Legacy Media,books/magazines (1-5 scale),110732,2015,12,3.07,mean,1.3
Legacy Media,books/magazines every day (%),110732,2015,12,16,percent,
Legacy Media,Books (# in last year),108896,2016,12,3.24,mean,3.87
Legacy Media,books/magazines (1-5 scale),110732,2016,12,3.03,mean,1.3
Legacy Media,books/magazines every day (%),110732,2016,12,16,percent,
Legacy Media,Magazines(1-5 scale),438666,1976-1979,8,,,
Legacy Media,Magazines(1-5 scale),399708,1976-1979,10,,,
Legacy Media,Magazines(1-5 scale),,1976-1979,12,,,
Legacy Media,Magazines(1-5 scale),438666,1980-1984,8,,,
Legacy Media,Magazines(1-5 scale),399708,1980-1984,10,,,
Legacy Media,Magazines(1-5 scale),,1980-1984,12,,,
Legacy Media,Magazines(1-5 scale),438666,1985-1989,8,,,
Legacy Media,Magazines(1-5 scale),399708,1985-1989,10,,,
Legacy Media,Magazines(1-5 scale),,1985-1989,12,,,
Legacy Media,Magazines(1-5 scale),438666,1990-1994,8,3.59,mean,1.12
Legacy Media,Magazines(1-5 scale),399708,1990-1994,10,3.55,mean,1.03
Legacy Media,Magazines(1-5 scale),,1990-1994,12,,,
Legacy Media,Magazines(1-5 scale),438666,1995-1999,8,3.59,mean,1.12
Legacy Media,Magazines(1-5 scale),399708,1995-1999,10,3.52,mean,1.03
Legacy Media,Magazines(1-5 scale),,1995-1999,12,,,
Legacy Media,Magazines(1-5 scale),438666,2000-2004,8,3.39,mean,1.18
Legacy Media,Magazines(1-5 scale),399708,2000-2004,10,3.33,mean,1.09
Legacy Media,Magazines(1-5 scale),,2000-2004,12,,,
Legacy Media,Magazines(1-5 scale),438666,2005-2009,8,3.04,mean,1.24
Legacy Media,Magazines(1-5 scale),399708,2005-2009,10,3.04,mean,1.15
Legacy Media,Magazines(1-5 scale),,2005-2009,12,,,
Legacy Media,Magazines(1-5 scale),438666,2010,8,2.7,mean,1.25
Legacy Media,Magazines(1-5 scale),399708,2010,10,2.73,mean,1.16
Legacy Media,Magazines(1-5 scale),,2010,12,,,
Legacy Media,Magazines(1-5 scale),438666,2011,8,2.6,mean,1.23
Legacy Media,Magazines(1-5 scale),399708,2011,10,2.61,mean,1.16
Legacy Media,Magazines(1-5 scale),,2011,12,,,
Legacy Media,Magazines(1-5 scale),438666,2012,8,2.53,mean,1.22
Legacy Media,Magazines(1-5 scale),399708,2012,10,2.54,mean,1.16
Legacy Media,Magazines(1-5 scale),,2012,12,,,
Legacy Media,Magazines(1-5 scale),438666,2013,8,2.38,mean,1.21
Legacy Media,Magazines(1-5 scale),399708,2013,10,2.37,mean,1.14
Legacy Media,Magazines(1-5 scale),,2013,12,,,
Legacy Media,Magazines(1-5 scale),438666,2014,8,2.22,mean,1.16
Legacy Media,Magazines(1-5 scale),399708,2014,10,2.17,mean,1.1
Legacy Media,Magazines(1-5 scale),,2014,12,,,
Legacy Media,Magazines(1-5 scale),438666,2015,8,2.08,mean,1.12
Legacy Media,Magazines(1-5 scale),399708,2015,10,2.03,mean,1.07
Legacy Media,Magazines(1-5 scale),,2015,12,,,
Legacy Media,Magazines(1-5 scale),438666,2016,8,1.93,mean,1.08
Legacy Media,Magazines(1-5 scale),399708,2016,10,1.9,mean,1.03
Legacy Media,Magazines(1-5 scale),,2016,12,,,
Legacy Media,Newspapers(1-5 scale),437126,1976-1979,8,,,
Legacy Media,Newspapers(1-5 scale),398777,1976-1979,10,,,
Legacy Media,Newspapers(1-5 scale),,1976-1979,12,,,
Legacy Media,Newspapers(1-5 scale),437126,1980-1984,8,,,
Legacy Media,Newspapers(1-5 scale),398777,1980-1984,10,,,
Legacy Media,Newspapers(1-5 scale),,1980-1984,12,,,
Legacy Media,Newspapers(1-5 scale),437126,1985-1989,8,,,
Legacy Media,Newspapers(1-5 scale),398777,1985-1989,10,,,
Legacy Media,Newspapers(1-5 scale),,1985-1989,12,,,
Legacy Media,Newspapers(1-5 scale),437126,1990-1994,8,3.41,mean,1.32
Legacy Media,Newspapers(1-5 scale),398777,1990-1994,10,3.74,mean,1.22
Legacy Media,Newspapers(1-5 scale),,1990-1994,12,,,
Legacy Media,Newspapers(1-5 scale),437126,1995-1999,8,3.1,mean,1.33
Legacy Media,Newspapers(1-5 scale),398777,1995-1999,10,3.48,mean,1.27
Legacy Media,Newspapers(1-5 scale),,1995-1999,12,,,
Legacy Media,Newspapers(1-5 scale),437126,2000-2004,8,2.77,mean,1.33
Legacy Media,Newspapers(1-5 scale),398777,2000-2004,10,3.16,mean,1.3
Legacy Media,Newspapers(1-5 scale),,2000-2004,12,,,
Legacy Media,Newspapers(1-5 scale),437126,2005-2009,8,2.45,mean,1.31
Legacy Media,Newspapers(1-5 scale),398777,2005-2009,10,2.8,mean,1.32
Legacy Media,Newspapers(1-5 scale),,2005-2009,12,,,
Legacy Media,Newspapers(1-5 scale),437126,2010,8,2.1,mean,1.21
Legacy Media,Newspapers(1-5 scale),398777,2010,10,2.36,mean,1.25
Legacy Media,Newspapers(1-5 scale),,2010,12,,,
Legacy Media,Newspapers(1-5 scale),437126,2011,8,2.03,mean,1.19
Legacy Media,Newspapers(1-5 scale),398777,2011,10,2.24,mean,1.23
Legacy Media,Newspapers(1-5 scale),,2011,12,,,
Legacy Media,Newspapers(1-5 scale),437126,2012,8,1.95,mean,1.15
Legacy Media,Newspapers(1-5 scale),398777,2012,10,2.16,mean,1.2
Legacy Media,Newspapers(1-5 scale),,2012,12,,,
Legacy Media,Newspapers(1-5 scale),437126,2013,8,1.85,mean,1.11
Legacy Media,Newspapers(1-5 scale),398777,2013,10,2,mean,1.14
Legacy Media,Newspapers(1-5 scale),,2013,12,,,
Legacy Media,Newspapers(1-5 scale),437126,2014,8,1.76,mean,1.06
Legacy Media,Newspapers(1-5 scale),398777,2014,10,1.88,mean,1.09
Legacy Media,Newspapers(1-5 scale),,2014,12,,,
Legacy Media,Newspapers(1-5 scale),437126,2015,8,1.71,mean,1.02
Legacy Media,Newspapers(1-5 scale),398777,2015,10,1.82,mean,1.06
Legacy Media,Newspapers(1-5 scale),,2015,12,,,
Legacy Media,Newspapers(1-5 scale),437126,2016,8,1.62,mean,0.98
Legacy Media,Newspapers(1-5 scale),398777,2016,10,1.71,mean,1
