State,Start Grade,End Grade,Start_Year,End_Year,Year,Start_Retention_Count,End_Retention_Count,Derived Cohort Loss Count,Drop_Pct,apportioned_migrants
Minnesota,Grade 8,Grade 10,2013-2014,2015-2016,2016,359.0,299.0,60.0,16.7130919220056,6794.277179236043
Minnesota,Grade 8,Grade 10,2015-2016,2017-2018,2018,122.0,218.0,0.0,0.0,0.0
Mississippi,Grade 10,Grade 12,2013-2014,2015-2016,2016,2422.0,984.0,1438.0,59.372419488026395,9739.28510209226
Mississippi,Grade 10,Grade 12,2015-2016,2017-2018,2018,1831.0,1041.0,790.0,43.1458219552157,0.0
Mississippi,Grade 8,Grade 10,2013-2014,2015-2016,2016,1545.0,1831.0,0.0,0.0,6212.714897907739
Mississippi,Grade 8,Grade 10,2015-2016,2017-2018,2018,1315.0,1852.0,0.0,0.0,0.0
Missouri,Grade 10,Grade 12,2013-2014,2015-2016,2016,1111.0,1503.0,0.0,0.0,18463.359169550175
Missouri,Grade 10,Grade 12,2015-2016,2017-2018,2018,1044.0,1419.0,0.0,0.0,0.0
Missouri,Grade 8,Grade 10,2013-2014,2015-2016,2016,334.0,1044.0,0.0,0.0,5550.640830449827
Missouri,Grade 8,Grade 10,2015-2016,2017-2018,2018,171.0,873.0,0.0,0.0,0.0
Montana,Grade 10,Grade 12,2013-2014,2015-2016,2016,96.0,90.0,6.0,6.25,5149.292307692308
Montana,Grade 10,Grade 12,2015-2016,2017-2018,2018,74.0,68.0,6.0,8.1081081081081,0.0
Montana,Grade 8,Grade 10,2013-2014,2015-2016,2016,34.0,74.0,0.0,0.0,1823.7076923076922
Montana,Grade 8,Grade 10,2015-2016,2017-2018,2018,30.0,78.0,0.0,0.0,0.0
Nebraska,Grade 10,Grade 12,2013-2014,2015-2016,2016,191.0,1672.0,0.0,0.0,8975.353448275862
Nebraska,Grade 10,Grade 12,2015-2016,2017-2018,2018,181.0,1787.0,0.0,0.0,0.0
Nebraska,Grade 8,Grade 10,2013-2014,2015-2016,2016,41.0,181.0,0.0,0.0,1926.646551724138
Nebraska,Grade 8,Grade 10,2015-2016,2017-2018,2018,30.0,205.0,0.0,0.0,0.0
Nevada,Grade 10,Grade 12,2013-2014,2015-2016,2016,378.0,3369.0,0.0,0.0,7341.0715835141
Nevada,Grade 10,Grade 12,2015-2016,2017-2018,2018,4899.0,353.0,4546.0,92.7944478464993,0.0
Nevada,Grade 8,Grade 10,2013-2014,2015-2016,2016,544.0,4899.0,0.0,0.0,10564.9284164859
Nevada,Grade 8,Grade 10,2015-2016,2017-2018,2018,494.0,3940.0,0.0,0.0,0.0
New Hampshire,Grade 10,Grade 12,2013-2014,2015-2016,2016,751.0,591.0,160.0,21.3049267643142,8883.466992665037
New Hampshire,Grade 10,Grade 12,2015-2016,2017-2018,2018,749.0,577.0,172.0,22.9639519359146,0.0
New Hampshire,Grade 8,Grade 10,2013-2014,2015-2016,2016,67.0,749.0,0.0,0.0,792.5330073349634
New Hampshire,Grade 8,Grade 10,2015-2016,2017-2018,2018,67.0,563.0,0.0,0.0,0.0
New Jersey,Grade 10,Grade 12,2013-2014,2015-2016,2016,1764.0,2122.0,0.0,0.0,14118.981530343008
New Jersey,Grade 10,Grade 12,2015-2016,2017-2018,2018,1833.0,2054.0,0.0,0.0,0.0
New Jersey,Grade 8,Grade 10,2013-2014,2015-2016,2016,510.0,1833.0,0.0,0.0,4082.0184696569922
New Jersey,Grade 8,Grade 10,2015-2016,2017-2018,2018,438.0,1556.0,0.0,0.0,0.0
New Mexico,Grade 10,Grade 12,2013-2014,2015-2016,2016,826.0,1406.0,0.0,0.0,7129.46035015448
New Mexico,Grade 10,Grade 12,2015-2016,2017-2018,2018,2530.0,1327.0,1203.0,47.5494071146245,0.0
New Mexico,Grade 8,Grade 10,2013-2014,2015-2016,2016,145.0,2530.0,0.0,0.0,1251.53964984552
New Mexico,Grade 8,Grade 10,2015-2016,2017-2018,2018,142.0,2351.0,0.0,0.0,0.0
New York,Grade 10,Grade 12,2013-2014,2015-2016,2016,13153.0,11185.0,1968.0,14.9623660001521,44484.434463545556
New York,Grade 10,Grade 12,2015-2016,2017-2018,2018,12906.0,11138.0,1768.0,13.6990547032388,0.0
New York,Grade 8,Grade 10,2013-2014,2015-2016,2016,1564.0,12906.0,0.0,0.0,5289.56553645444
New York,Grade 8,Grade 10,2015-2016,2017-2018,2018,1054.0,13173.0,0.0,0.0,0.0
North Carolina,Grade 10,Grade 12,2013-2014,2015-2016,2016,7583.0,1884.0,5699.0,75.15495186601609,47920.85888600158
North Carolina,Grade 10,Grade 12,2015-2016,2017-2018,2018,5785.0,2127.0,3658.0,63.2324978392394,0.0
North Carolina,Grade 8,Grade 10,2013-2014,2015-2016,2016,1268.0,5785.0,0.0,0.0,8013.141113998418
North Carolina,Grade 8,Grade 10,2015-2016,2017-2018,2018,805.0,6533.0,0.0,0.0,0.0
North Dakota,Grade 10,Grade 12,2013-2014,2015-2016,2016,107.0,201.0,0.0,0.0,4973.068181818182
North Dakota,Grade 10,Grade 12,2015-2016,2017-2018,2018,95.0,197.0,0.0,0.0,0.0
North Dakota,Grade 8,Grade 10,2013-2014,2015-2016,2016,25.0,95.0,0.0,0.0,1161.9318181818182
North Dakota,Grade 8,Grade 10,2015-2016,2017-2018,2018,21.0,65.0,0.0,0.0,0.0
Ohio,Grade 10,Grade 12,2013-2014,2015-2016,2016,3860.0,4014.0,0.0,0.0,30700.788636845453
Ohio,Grade 10,Grade 12,2015-2016,2017-2018,2018,4603.0,2913.0,1690.0,36.7151857484249,0.0
